code,name_ar,name_fr,name_en,capital,lat,lon,postal_code
01,أدرار,Adrar,Adrar,Adrar,27.8742,-0.2939,01000
02,الشلف,Chlef,Chlef,Chlef,36.1653,1.3317,02000
03,الأغواط,Laghouat,Laghouat,Laghouat,33.8,2.8828,03000
04,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,Oum El Bouaghi,35.8736,7.1128,04000
05,باتنة,Batna,Batna,Batna,35.5558,6.1742,05000
06,بجاية,Béjaïa,Bejaia,Béjaïa,36.7539,5.0844,06000
07,بسكرة,Biskra,Biskra,Biskra,34.85,5.7333,07000
08,بشار,Béchar,Bechar,Béchar,31.6167,-2.2167,08000
09,البليدة,Blida,Blida,Blida,36.47,2.83,09000
10,البويرة,Bouira,Bouira,Bouira,36.3739,3.9003,10000
11,تمنراست,Tamanrasset,Tamanrasset,Tamanrasset,22.7853,5.5228,11000
12,تبسة,Tébessa,Tebessa,Tébessa,35.4044,8.1242,12000
13,تلمسان,Tlemcen,Tlemcen,Tlemcen,34.8828,-1.3167,13000
14,تيارت,Tiaret,Tiaret,Tiaret,35.3711,1.3167,14000
15,تيزي وزو,Tizi Ouzou,Tizi Ouzou,Tizi Ouzou,36.7169,4.0497,15000
16,الجزائر,Alger,Algiers,Algiers,36.7538,3.0588,16000
17,الجلفة,Djelfa,Djelfa,Djelfa,34.6711,3.2631,17000
18,جيجل,Jijel,Jijel,Jijel,36.82,5.7667,18000
19,سطيف,Sétif,Setif,Sétif,36.1898,5.4108,19000
20,سعيدة,Saïda,Saida,Saïda,34.8311,0.1511,20000
21,سكيكدة,Skikda,Skikda,Skikda,36.8761,6.9064,21000
22,سيدي بلعباس,Sidi Bel Abbès,Sidi Bel Abbes,Sidi Bel Abbès,35.1897,-0.6306,22000
23,عنابة,Annaba,Annaba,Annaba,36.9,7.7667,23000
24,قالمة,Guelma,Guelma,Guelma,36.4617,7.4328,24000
25,قسنطينة,Constantine,Constantine,Constantine,36.365,6.6147,25000
26,المدية,Médéa,Medea,Médéa,36.2636,2.7519,26000
27,مستغانم,Mostaganem,Mostaganem,Mostaganem,35.9319,0.0892,27000
28,المسيلة,M'Sila,M'Sila,M'Sila,35.7058,4.5417,28000
29,معسكر,Mascara,Mascara,Mascara,35.3958,0.1403,29000
30,ورقلة,Ouargla,Ouargla,Ouargla,31.9539,5.3344,30000
31,وهران,Oran,Oran,Oran,35.6969,-0.6331,31000
32,البيض,El Bayadh,El Bayadh,El Bayadh,33.6831,1.0181,32000
33,إليزي,Illizi,Illizi,Illizi,26.5,8.4833,33000
34,برج بوعريريج,Bordj Bou Arréridj,Bordj Bou Arreridj,Bordj Bou Arréridj,36.0731,4.7628,34000
35,بومرداس,Boumerdès,Boumerdes,Boumerdès,36.7614,3.4775,35000
36,الطارف,El Tarf,El Tarf,El Tarf,36.7672,8.3133,36000
37,تيندوف,Tindouf,Tindouf,Tindouf,27.6736,-8.1469,37000
38,تيسمسيلت,Tissemsilt,Tissemsilt,Tissemsilt,35.6078,1.8128,38000
39,الوادي,El Oued,El Oued,El Oued,33.3681,6.8633,39000
40,خنشلة,Khenchela,Khenchela,Khenchela,35.4333,7.1333,40000
41,سوق أهراس,Souk Ahras,Souk Ahras,Souk Ahras,36.2869,7.9514,41000
42,تيبازة,Tipaza,Tipaza,Tipaza,36.5894,2.4469,42000
43,ميلة,Mila,Mila,Mila,36.4506,6.2642,43000
44,عين الدفلى,Aïn Defla,Ain Defla,Aïn Defla,36.2642,1.9664,44000
45,النعامة,Naâma,Naama,Naâma,33.2672,-0.3069,45000
46,عين تيموشنت,Aïn Témouchent,Ain Temouchent,Aïn Témouchent,35.2978,-1.14,46000
47,غرداية,Ghardaïa,Ghardaia,Ghardaïa,32.4919,3.6736,47000
48,غليزان,Relizane,Relizane,Relizane,35.7378,0.5564,48000
49,تيميمون,Timimoun,Timimoun,Timimoun,29.2632,0.2341,49000
50,برج باجي مختار,Bordj Badji Mokhtar,Bordj Badji Mokhtar,Bordj Badji Mokhtar,21.3283,0.9467,50000
51,أولاد جلال,Ouled Djellal,Ouled Djellal,Ouled Djellal,34.4178,5.0692,51000
52,بني عباس,Beni Abbès,Beni Abbes,Beni Abbès,30.1281,-2.1619,52000
53,إن صالح,In Salah,In Salah,In Salah,27.1972,2.4644,53000
54,إن قزام,In Guezzam,In Guezzam,In Guezzam,19.5683,5.7725,54000
55,توقرت,Touggourt,Touggourt,Touggourt,33.0997,6.0628,55000
56,جانت,Djanet,Djanet,Djanet,24.5553,9.4839,56000
57,المغير,El M'Ghair,El M'Ghair,El M'Ghair,33.95,5.9333,57000
58,المنيعة,El Ménéa,El Menea,El Ménéa,30.5819,2.8864,58000
